Reaction Date,Reaction Type,Parent Type,Parent ID
"Nov 7, 2021, 9:30:31 PM",Kudos,Activity,5404273621
"Nov 7, 2021, 9:30:35 PM",Kudos,Activity,5404272109
"Nov 7, 2021, 9:31:20 PM",Kudos,Activity,6225442925
"Nov 7, 2021, 9:31:23 PM",Kudos,Activity,6225562171
"Nov 7, 2021, 9:32:27 PM",Kudos,Activity,6225464024
"Nov 7, 2021, 9:32:42 PM",Kudos,Activity,6225481155
"Nov 7, 2021, 9:32:46 PM",Kudos,Activity,6225374513
"Nov 7, 2021, 9:32:52 PM",Kudos,Activity,6225101942
"Nov 7, 2021, 9:33:00 PM",Kudos,Activity,6224967386
"Nov 7, 2021, 9:33:05 PM",Kudos,Activity,6224984235
"Nov 7, 2021, 9:33:13 PM",Kudos,Activity,6225013492
"Nov 8, 2021, 12:23:36 AM",Kudos,Activity,6227223925
"Nov 8, 2021, 1:20:57 AM",Kudos,Activity,6227500735
"Nov 8, 2021, 3:57:57 AM",Kudos,Activity,6227420118
"Nov 8, 2021, 4:02:05 AM",Kudos,Activity,6227697405
"Nov 8, 2021, 1:48:28 PM",Kudos,Activity,6227751561
"Nov 8, 2021, 1:48:57 PM",Kudos,Activity,6227673012
"Nov 8, 2021, 2:53:33 PM",Kudos,Activity,6229233144
"Nov 8, 2021, 2:53:40 PM",Kudos,Activity,6227868033
"Nov 8, 2021, 4:26:51 PM",Kudos,Activity,6229724398
"Nov 8, 2021, 10:14:09 PM",Kudos,Activity,6231027407
"Nov 8, 2021, 10:14:15 PM",Kudos,Activity,6231028497
"Nov 8, 2021, 10:14:21 PM",Kudos,Activity,6231002276
"Nov 8, 2021, 10:14:27 PM",Kudos,Activity,6231024796
"Nov 8, 2021, 10:40:15 PM",Kudos,Activity,6231132140
"Nov 8, 2021, 10:47:53 PM",Kudos,Activity,6230785689
"Nov 8, 2021, 10:59:44 PM",Kudos,Activity,6231174944
"Nov 8, 2021, 10:59:46 PM",Kudos,Activity,6231187510
"Nov 8, 2021, 11:26:58 PM",Kudos,Activity,6231248799
"Nov 8, 2021, 11:27:00 PM",Kudos,Activity,6231271380
"Nov 8, 2021, 11:27:01 PM",Kudos,Activity,6231289192
"Nov 9, 2021, 12:30:31 AM",Kudos,Activity,6231222243
"Nov 9, 2021, 12:45:50 AM",Kudos,Activity,6231068968
"Nov 9, 2021, 1:47:14 AM",Kudos,Activity,6231577064
"Nov 9, 2021, 1:19:36 PM",Kudos,Activity,6233578376
"Nov 9, 2021, 1:19:46 PM",Kudos,Activity,6233564982
"Nov 9, 2021, 1:19:49 PM",Kudos,Activity,6233532289
"Nov 9, 2021, 1:19:52 PM",Kudos,Activity,6233577694
"Nov 9, 2021, 1:19:57 PM",Kudos,Activity,6233580105
"Nov 9, 2021, 1:20:08 PM",Kudos,Activity,6233570581
"Nov 9, 2021, 1:20:19 PM",Kudos,Activity,6232007923
"Nov 9, 2021, 1:20:24 PM",Kudos,Activity,6233598306
"Nov 9, 2021, 1:20:36 PM",Kudos,Activity,6231832197
"Nov 9, 2021, 2:39:28 PM",Kudos,Activity,6233743943
"Nov 9, 2021, 2:39:32 PM",Kudos,Activity,6233823774
"Nov 9, 2021, 2:39:35 PM",Kudos,Activity,6233813787
"Nov 9, 2021, 3:28:54 PM",Kudos,Activity,6234024410
"Nov 9, 2021, 5:40:51 PM",Kudos,Activity,6234024843
"Nov 10, 2021, 1:38:41 AM",Kudos,Activity,6236462341
"Nov 10, 2021, 12:53:23 PM",Kudos,Activity,6236833720
"Nov 10, 2021, 9:03:57 PM",Kudos,Activity,6240213357
"Nov 10, 2021, 10:00:39 PM",Kudos,Activity,6240321025
"Nov 10, 2021, 10:05:45 PM",Kudos,Activity,6240180362
"Nov 10, 2021, 10:05:47 PM",Kudos,Activity,6240165126
"Nov 10, 2021, 10:05:48 PM",Kudos,Activity,6240147642
"Nov 10, 2021, 10:05:50 PM",Kudos,Activity,6240453261
"Nov 11, 2021, 12:04:34 AM",Kudos,Activity,6240790397
"Nov 11, 2021, 2:23:41 AM",Kudos,Activity,6241124875
"Nov 11, 2021, 2:24:22 AM",Kudos,Activity,6240935745
"Nov 11, 2021, 2:24:44 AM",Kudos,Activity,6240778171
"Nov 11, 2021, 1:15:29 PM",Kudos,Activity,6241608219
"Nov 11, 2021, 3:29:03 PM",Kudos,Activity,6242875937
"Nov 11, 2021, 6:24:42 PM",Kudos,Activity,6244226005
"Nov 11, 2021, 11:45:49 PM",Kudos,Activity,6245342608
"Nov 12, 2021, 12:21:32 AM",Kudos,Activity,6245400557
"Nov 12, 2021, 12:21:33 AM",Kudos,Activity,6245376083
"Nov 12, 2021, 12:21:34 AM",Kudos,Activity,6245340453
"Nov 12, 2021, 12:21:42 AM",Kudos,Activity,6245374548
"Nov 12, 2021, 12:22:52 AM",Kudos,Activity,6245009884
"Nov 12, 2021, 12:34:08 AM",Kudos,Activity,6244791097
"Nov 12, 2021, 12:38:35 AM",Kudos,Activity,6245427998
"Nov 12, 2021, 1:38:22 AM",Kudos,Activity,6245398993
"Nov 12, 2021, 3:12:44 PM",Kudos,Activity,6246166079
"Nov 12, 2021, 7:54:41 PM",Kudos,Activity,6245707193
"Nov 12, 2021, 8:25:00 PM",Kudos,Activity,6248743191
"Nov 12, 2021, 8:25:03 PM",Kudos,Activity,6248741829
"Nov 13, 2021, 2:00:43 AM",Kudos,Activity,6249339310
"Nov 13, 2021, 2:11:16 AM",Kudos,Activity,6249017462
"Nov 13, 2021, 2:11:17 AM",Kudos,Activity,6248926832
"Nov 13, 2021, 2:11:29 AM",Kudos,Activity,6248987546
"Nov 13, 2021, 2:11:30 AM",Kudos,Activity,6249292928
"Nov 13, 2021, 2:11:32 AM",Kudos,Activity,6248932691
"Nov 13, 2021, 2:11:35 AM",Kudos,Activity,6249521734
"Nov 13, 2021, 2:11:36 AM",Kudos,Activity,6249383861
"Nov 13, 2021, 2:11:38 AM",Kudos,Activity,6248974620
"Nov 13, 2021, 2:11:39 AM",Kudos,Activity,6249389942
"Nov 13, 2021, 2:11:41 AM",Kudos,Activity,6248949434
"Nov 13, 2021, 6:43:01 PM",Kudos,Activity,6253223597
"Nov 13, 2021, 6:43:02 PM",Kudos,Activity,6253092503
"Nov 13, 2021, 6:43:12 PM",Kudos,Activity,6253034069
"Nov 13, 2021, 6:43:21 PM",Kudos,Activity,6252775009
"Nov 13, 2021, 9:55:37 PM",Kudos,Activity,6253586727
"Nov 13, 2021, 9:55:46 PM",Kudos,Activity,6253369730
"Nov 13, 2021, 9:55:58 PM",Kudos,Activity,6253429169
"Nov 13, 2021, 9:56:08 PM",Kudos,Activity,6253535667
"Nov 13, 2021, 9:56:12 PM",Kudos,Activity,6253610044
"Nov 13, 2021, 10:05:17 PM",Kudos,Activity,6253821633
"Nov 13, 2021, 10:21:58 PM",Kudos,Activity,6253824726
"Nov 13, 2021, 11:55:18 PM",Kudos,Activity,6254004228
"Nov 14, 2021, 12:43:34 AM",Kudos,Activity,6254139242
"Nov 14, 2021, 12:43:36 AM",Kudos,Activity,6254234913
"Nov 14, 2021, 12:43:45 AM",Kudos,Activity,6254089976
"Nov 14, 2021, 2:48:08 AM",Kudos,Activity,6254465671
"Nov 14, 2021, 6:20:37 AM",Kudos,Activity,6254695914
"Nov 14, 2021, 4:45:57 PM",Kudos,Activity,6257787328
"Nov 14, 2021, 5:12:17 PM",Kudos,Activity,6257998191
"Nov 14, 2021, 5:12:20 PM",Kudos,Activity,6257918377
"Nov 14, 2021, 5:12:30 PM",Kudos,Activity,6257759770
"Nov 14, 2021, 5:12:34 PM",Kudos,Activity,6257716433
"Nov 14, 2021, 5:12:40 PM",Kudos,Activity,6257672959
"Nov 14, 2021, 5:12:41 PM",Kudos,Activity,6257737076
"Nov 14, 2021, 5:12:45 PM",Kudos,Activity,6257790932
"Nov 14, 2021, 5:12:47 PM",Kudos,Activity,6257773847
"Nov 14, 2021, 5:12:51 PM",Kudos,Activity,6257894659
"Nov 14, 2021, 5:13:04 PM",Kudos,Activity,6257830979
"Nov 14, 2021, 5:58:01 PM",Kudos,Activity,6258183108
"Nov 14, 2021, 10:40:57 PM",Kudos,Activity,6258658163
"Nov 14, 2021, 10:41:07 PM",Kudos,Activity,6258477493
"Nov 15, 2021, 12:52:18 PM",Kudos,Activity,6259613422
"Nov 15, 2021, 12:52:44 PM",Kudos,Activity,6259517477
"Nov 15, 2021, 12:52:47 PM",Kudos,Activity,6259422284
"Nov 15, 2021, 12:53:15 PM",Kudos,Activity,6259382068
"Nov 15, 2021, 1:11:00 PM",Kudos,Activity,6259715404
"Nov 15, 2021, 1:18:25 PM",Kudos,Activity,6259510173
"Nov 15, 2021, 1:35:45 PM",Kudos,Activity,6258624570
"Nov 15, 2021, 7:49:04 PM",Kudos,Activity,6262236826
"Nov 15, 2021, 7:49:08 PM",Kudos,Activity,6261738027
"Nov 16, 2021, 12:29:25 AM",Kudos,Activity,6263418254
"Nov 16, 2021, 12:29:28 AM",Kudos,Activity,6263371743
"Nov 16, 2021, 12:29:30 AM",Kudos,Activity,6263364825
"Nov 16, 2021, 12:29:41 AM",Kudos,Activity,6263282762
"Nov 16, 2021, 12:29:47 AM",Kudos,Activity,6263248018
"Nov 16, 2021, 12:29:53 AM",Kudos,Activity,6263260954
"Nov 16, 2021, 12:29:54 AM",Kudos,Activity,6263280339
"Nov 16, 2021, 1:12:57 AM",Kudos,Activity,6263512482
"Nov 16, 2021, 1:16:17 AM",Kudos,Activity,6263256935
"Nov 16, 2021, 1:16:19 AM",Kudos,Activity,6263267552
"Nov 16, 2021, 1:16:22 AM",Kudos,Activity,6263060895
"Nov 16, 2021, 1:16:25 AM",Kudos,Activity,6263187143
"Nov 16, 2021, 1:16:34 AM",Kudos,Activity,6263014112
"Nov 16, 2021, 1:16:37 AM",Kudos,Activity,6262963949
"Nov 16, 2021, 1:16:40 AM",Kudos,Activity,6263181446
"Nov 16, 2021, 2:53:23 AM",Kudos,Activity,6263655806
"Nov 16, 2021, 1:33:28 PM",Kudos,Activity,6263645597
"Nov 16, 2021, 1:33:35 PM",Kudos,Activity,6263667858
"Nov 16, 2021, 1:33:43 PM",Kudos,Activity,6263767273
"Nov 16, 2021, 1:33:55 PM",Kudos,Activity,6263653480
"Nov 16, 2021, 1:49:08 PM",Kudos,Activity,6265538552
"Nov 16, 2021, 2:04:27 PM",Kudos,Activity,6264066650
"Nov 16, 2021, 4:35:40 PM",Kudos,Activity,6265781156
"Nov 16, 2021, 10:48:24 PM",Kudos,Activity,6267707158
"Nov 16, 2021, 10:48:42 PM",Kudos,Activity,6267787210
"Nov 17, 2021, 12:50:37 AM",Kudos,Activity,6267926441
"Nov 17, 2021, 12:50:44 AM",Kudos,Activity,6268011305
"Nov 17, 2021, 2:56:25 AM",Kudos,Activity,6268453220
"Nov 17, 2021, 1:47:48 PM",Kudos,Activity,6270118474
"Nov 17, 2021, 1:47:49 PM",Kudos,Activity,6270079638
"Nov 17, 2021, 1:47:53 PM",Kudos,Activity,6268502573
"Nov 17, 2021, 6:41:22 PM",Kudos,Activity,6268011382
"Nov 17, 2021, 6:41:26 PM",Kudos,Activity,6271056676
"Nov 17, 2021, 6:41:40 PM",Kudos,Activity,6267857569
"Nov 17, 2021, 6:41:45 PM",Kudos,Activity,6267853194
"Nov 17, 2021, 6:41:49 PM",Kudos,Activity,6271057863
"Nov 17, 2021, 6:41:50 PM",Kudos,Activity,6268011539
"Nov 17, 2021, 11:39:11 PM",Kudos,Activity,6272430970
"Nov 17, 2021, 11:39:13 PM",Kudos,Activity,6272487855
"Nov 17, 2021, 11:39:16 PM",Kudos,Activity,6272539274
"Nov 17, 2021, 11:49:04 PM",Kudos,Activity,6271848338
"Nov 18, 2021, 12:36:13 AM",Kudos,Activity,6272540183
"Nov 18, 2021, 12:36:18 AM",Kudos,Activity,6272515385
"Nov 18, 2021, 12:36:35 AM",Kudos,Activity,6271840624
"Nov 18, 2021, 12:36:37 AM",Kudos,Activity,6271845293
"Nov 18, 2021, 3:07:50 AM",Kudos,Activity,6273004268
"Nov 18, 2021, 3:07:55 AM",Kudos,Activity,6272976446
"Nov 18, 2021, 4:23:09 AM",Kudos,Activity,6273109640
"Nov 18, 2021, 4:36:45 AM",Kudos,Activity,6272708633
"Nov 18, 2021, 4:49:00 AM",Kudos,Activity,6272501595
"Nov 18, 2021, 4:50:16 AM",Kudos,Activity,6268503124
"Nov 18, 2021, 4:50:28 AM",Kudos,Activity,6268357496
"Nov 18, 2021, 4:50:42 AM",Kudos,Activity,6268357634
"Nov 18, 2021, 4:52:21 AM",Kudos,Activity,6268041274
"Nov 18, 2021, 4:52:29 AM",Kudos,Activity,6268000968
"Nov 18, 2021, 4:52:39 AM",Kudos,Activity,6267964906
"Nov 18, 2021, 5:06:33 AM",Kudos,Activity,6272990917
"Nov 18, 2021, 5:07:18 AM",Kudos,Activity,6272205810
"Nov 18, 2021, 5:07:37 AM",Kudos,Activity,6272390097
"Nov 18, 2021, 5:07:55 AM",Kudos,Activity,6270932383
"Nov 18, 2021, 5:08:06 AM",Kudos,Activity,6268501247
"Nov 18, 2021, 3:32:23 PM",Kudos,Activity,6274757478
"Nov 18, 2021, 3:32:24 PM",Kudos,Activity,6274745452
"Nov 18, 2021, 10:51:03 PM",Kudos,Activity,6276740894
"Nov 18, 2021, 10:51:04 PM",Kudos,Activity,6276722752
"Nov 18, 2021, 10:51:06 PM",Kudos,Activity,6276751283
"Nov 18, 2021, 10:51:16 PM",Kudos,Activity,6276588169
"Nov 18, 2021, 10:51:20 PM",Kudos,Activity,6276754012
"Nov 18, 2021, 10:51:27 PM",Kudos,Activity,6276660321
"Nov 18, 2021, 10:51:30 PM",Kudos,Activity,6276598139
"Nov 18, 2021, 10:51:31 PM",Kudos,Activity,6276617637
"Nov 18, 2021, 10:51:32 PM",Kudos,Activity,6276595049
"Nov 18, 2021, 10:51:33 PM",Kudos,Activity,6276593132
"Nov 18, 2021, 10:51:35 PM",Kudos,Activity,6276659594
"Nov 18, 2021, 10:51:41 PM",Kudos,Activity,6276644758
"Nov 18, 2021, 10:51:45 PM",Kudos,Activity,6276547055
"Nov 18, 2021, 11:07:49 PM",Kudos,Activity,6276793560
"Nov 18, 2021, 11:09:05 PM",Kudos,Activity,6276054481
"Nov 18, 2021, 11:20:46 PM",Kudos,Activity,6276847958
"Nov 18, 2021, 11:21:10 PM",Kudos,Activity,6276684999
"Nov 19, 2021, 1:11:46 AM",Kudos,Activity,6276853355
"Nov 19, 2021, 1:11:51 AM",Kudos,Activity,6276875374
"Nov 19, 2021, 1:11:53 AM",Kudos,Activity,6276955418
"Nov 19, 2021, 1:12:07 AM",Kudos,Activity,6277000082
"Nov 19, 2021, 2:56:36 AM",Kudos,Activity,6277215114
"Nov 19, 2021, 4:16:54 PM",Kudos,Activity,6279216266
"Nov 19, 2021, 4:16:56 PM",Kudos,Activity,6278897054
"Nov 19, 2021, 4:17:17 PM",Kudos,Activity,6277180423
"Nov 19, 2021, 5:00:51 PM",Kudos,Activity,6279545729
"Nov 19, 2021, 6:00:04 PM",Kudos,Activity,6279607190
"Nov 19, 2021, 6:00:06 PM",Kudos,Activity,6279637385
"Nov 19, 2021, 6:00:07 PM",Kudos,Activity,6279644219
"Nov 19, 2021, 6:02:19 PM",Kudos,Activity,6277173243
"Nov 19, 2021, 8:13:03 PM",Kudos,Activity,6280028830
"Nov 19, 2021, 8:13:11 PM",Kudos,Activity,6279947108
"Nov 19, 2021, 8:13:14 PM",Kudos,Activity,6280081542
"Nov 19, 2021, 8:13:19 PM",Kudos,Activity,6280081131
"Nov 19, 2021, 11:20:29 PM",Kudos,Activity,6280605502
"Nov 19, 2021, 11:20:59 PM",Kudos,Activity,6280633724
"Nov 19, 2021, 11:21:00 PM",Kudos,Activity,6280637366
"Nov 19, 2021, 11:21:12 PM",Kudos,Activity,6280559877
